Term,Acronym,Definition
Adjusted Book Value Method,,"a method within the asset approach whereby all assets and liabilities (including off-balance sheet, intangible, and contingent) are adjusted to their fair market values."
Adjusted Net Asset Method,,see Adjusted Book Value Method
Appraisal,,see Valuation.
Appraisal Approach,,see Valuation Approach
Appraisal Date,,see Valuation Date.
Appraisal Method,,see Valuation Method.
Appraisal Procedure,,see Valuation Procedure.
Arbitrage Pricing Theory,,"a multivariate model for estimating the cost of equity capital, which incorporates several systematic risk factors."
Asset Approach,,"a general way of determining a value indication of a business, business ownership interest, or security using one or more methods based on the value of the assets net ofliabilities."
Asset-Based Approach,,See Asset Approach
Beta,,a measure of systematic risk of a stock; the tendency of a stock_s price to correlate with changes in a specific index.
Blockage Discount,,an amount or percentage deducted from the current market price of a publicly traded stock to reflect the decrease in the per share value of a block of stock that is of a size that could not be sold in a reasonable period of time given normal trading volume.
Book Value,,see Net Book Value.
Business,,see Business Enterprise.
Business Enterprise,,"a commercial, industrial, service, or investment entity (or a combination thereof) pursuing an economic activity."
Business Risk,,the degree of uncertainty of realizing expected future returns of the business resulting from factors other than finan- cial leverage. See Financial Risk.
Business Valuation,,the act or process of determining the value of a business enterprise or ownership interest therein.
Capital Asset Pricing Model ,CAPM,a model in which the cost of capital for any stock or portfolio of stocks equals a risk-free rate plus a risk premium that is proportionate to the systematic risk of the stock or portfolio.
Capitalization,,a conversion of a single period of economic benefits into value.
Capitalization Factor,,any multiple or divisor used to convert anticipated economic benefits of a single period into value.
Capitalization of Earnings Method,,a method within the income approach whereby economic benefits for a representative single period are converted to value through division by a capitalization rate.
Capitalization Rate,,any divisor (usually expressed as a percentage) used to convert anticipated economic benefits of a single period into value.
Capital Structure,,the composition of the invested capital of a busi- ness enterprise; the mix of debt and equity financing.
Cash Flow,,"cash that is generated over a period of time by an asset, group of assets, or business enterprise. It may be used in a general sense to encompass various levels of specifically defined cash flows. When the term is used, it should be supplemented by a qualifier (for example, _discretionary_ or _operating_) and a specific definition in the given valuation context."
Common Size Statements,,"financial statements in which each line is expressed as a percentage of the total. On the balance sheet, each line item is shown as a percentage of total assets, and on the income statement, each item is expressed as a percentage of sales."
Control,,the power to direct the management and policies of a busi- ness enterprise.
Control Premium,,an amount or a percentage by which the pro rata value of a controlling interest exceeds the pro rata value of a noncontrolling interest in a business enterprise to reflect the power of control.
Cost Approach,,a general way of determining a value indication of an individual asset by quantifying the amount of money required to replace the future service capability of that asset.
Cost of Capital,,the expected rate of return that the market requires in order to attract funds to a particular investment.
Debt-Free,,we discourage the use of this term. See Invested Capital.
Discount for Lack of Control,,an amount or percentage deducted from the pro rata share of value of 100% of an equity interest in a business to reflect the absence of some or all of the powers of control.
Discount for Lack of Marketability,,an amount or percentage deducted from the value of an ownership interest to reflect the rela- tive absence of marketability.
Discount for Lack of Voting Rights,,an amount or percentage deducted from the per share value of a minority interest voting share to reflect the absence of voting rights.
Discount Rate,,a rate of return used to convert a future monetary sum into present value.
Discounted Cash Flow Method,,a method within the income approach whereby the present value of future expected net cash flows is calculated using a discount rate.
Discounted Future Earnings Method,,a method within the income approach whereby the present value of future expected eco- nomic benefits is calculated using a discount rate.
Economic Benefits,,"inflows such as revenues, net income, net cash flows, etc."
Economic Life,,the period of time over which property may gener- ate economic benefits.
Effective Date,,see Valuation Date.
Enterprise,,see Business Enterprise.
Equity,,the owner_s interest in property after deduction of all liabilities.
Equity Net Cash Flows,,"those cash flows available to pay out to equity holders (in the form of dividends) after funding operations of the business enterprise, making necessary capital investments, and increasing or decreasing debt financing."
Equity Risk Premium,,a rate of return added to a risk-free rate to reflect the additional risk of equity instruments over risk free instruments (a component of the cost of equity capital or equity discount rate).
Excess Earnings,,that amount of anticipated economic benefits that exceeds an appropriate rate of return on the value of a selected asset base (often net tangible assets) used to generate those antici- pated economic benefits.
Excess Earnings Method,,"a specific way of determining a value indication of a business, business ownership interest, or security determined as the sum of a) the value of the assets derived by capi- talizing excess earnings and b) the value of the selected asset base. Also frequently used to value intangible assets. See Excess Earnings."
Fair Market Value,,"the price, expressed in terms of cash equiva- lents, at which property would change hands between a hypothetical willing and able buyer and a hypothetical willing and able seller, act- ing at arms length in an open and unrestricted market, when neither is under compulsion to buy or sell and when both have reasonable knowledge of the relevant facts. "
Fairness Opinion,,an opinion as to whether or not the considera- tion in a transaction is fair from a financial point of view.
Financial Risk,,the degree of uncertainty of realizing expected future returns of the business resulting from financial leverage. See Business Risk.
Forced Liquidation Value,,"liquidation value, at which the asset or assets are sold as quickly as possible, such as at an auction."
Free Cash Flow,,See Net Cash Flow.
Going Concern,,an ongoing operating business enterprise.
Going Concern Value,,"the value of a business enterprise that is expected to continue to operate into the future. The intangible ele- ments of Going Concern Value result from factors such as having a trained work force, an operational plant, and the necessary licenses, systems, and procedures in place."
Goodwill,,"that intangible asset arising as a result of name, reputa- tion, customer loyalty, location, products, and similar factors not sep- arately identified."
Goodwill Value,,the value attributable to goodwill.
Guideline Public Company Method,,a method within the market approach whereby market multiples are derived from market prices of stocks of companies that are engaged in the same or similar lines of business and that are actively traded on a free and open market.
Income Approach,,"a general way of determining a value indication of a business, business ownership interest, security, or intangible asset using one or more methods that convert antici- pated economic benefits into a present single amount."
Income-Based Approach,,see Income Approach.
Intangible Assets,,"nonphysical assets such as franchises, trade- marks, patents, copyrights, goodwill, equities, mineral rights, securi- ties, and contracts (as distinguished from physical assets) that grant rights and privileges and have value for the owner."
Internal Rate of Return,,a discount rate at which the present value of the future cash flows of the investment equals the cost of the investment.
