Term,Acronym,Definition
Accounting consistency,,"Balance sheets balance, and income statements are consistent with retained earnings on the balance sheet."
Accruals ,,"Amounts owed for salary, taxes, and other items, but not yet paid."
Accrual basis accounting ,,"An accounting convention in which revenue and most costs are recognized when the sale of the good or service occurs, rather than when the cash is received or when expenses are paid. Accrual basis accounting relies on the matching and recognition principles."
Additional funds needed ,AFN,The extra amount of financing that is required in a given year.  Usually is positive if the firm is growing
Articulate ,,"Retained earnings on the balance sheet are equal to the previous year_s retained earnings plus the current year_s net income, less any dividends paid.  "
Asset turnover,,Sometimes based on average assets: [(Assett + assett-1)/2 /Salest. This ratio is often used as an indicator of efficiency of asset utilization.
Basis point,,"For example, a 10 basis point increase from an interest rate of 4 percent gives an interest rate of 4.10 percent."
Beta ,,"Beta measures a stock_s market risk, which is the risk relevant to an investor.  Market risk is the amount of risk that a stock contributes to a well-diversified portfolio.  "
Bond spread ,,The difference in yield between a corporate bond of a certain credit rating and a comparable maturity Treasury security.
Book value,,"The value of an asset, a liability, or a company that is based solely upon the values reported in the company_s financial statements."
Capital asset pricing model ,CAPM,A model of investor required returns.  The required return to equity is the risk free rate plus beta multiplied by the market risk premium: rs = rRF + Beta (Market risk premium)
Capital requirements,,The amount of capital required to support a dollar of sales.
Cash flow,,Cash generated from a business activity.
Circularity ,,"Interdependence among formulas in a spreadsheet in which changes in one variable cause changes in a second variable, which in turn brings about a further change in the first variable."
Common stock,,Item on the balance sheet that shows how much stockholders have invested in the company by purchasing stock from the company.
Comprehensive financial statements ,,A set of extremely detailed financial statements that includes practically all the entries that might be encountered in actual statements.
Condensed financial statements ,,A set of focused financial statements that includes only the level of detail that is essential to a fundamental valuation of a firm. Individual items in the comprehensive statements are aggregated to produce the condensed statements.
Constant growth formula ,,A formula for the present value of a constantly growing stream of free cash flows.
Constant growth rate dividend policy ,,Dividends are assumed to grow at a constant rate.
Corporate value ,,The sum of the value of a firm_s operations and the value of its non-operating assets.  This is the total value of the firm.
Cost of capital ,,"The return the company must obtain on a certain source of capital, for example debt or equity, to satisfy those investors."
Cost of equity,,The return stockholders require on their investment in the stock.
Cost of goods sold ,COGS,Expenses associated with production activities.
Current assets,,"Assets expected to be converted to cash within a year.  Current assets include inventory, accounts receivable, cash, and short-term investments."
Current liabilities,,"Liabilities expected to be paid off within a year.  Current liabilities include notes payable, the current portion of long-term debt, and accruals."
Current ratio,,Current assets/Current liabilities.
Debtholder ,,"A person or financial institution who owns a bond issued by the company, or a bank that is owed money by the company."
Depreciation ,,The amount of an asset_s purchase price that is taken as an expense during each reporting period over the life of the asset.
Dividends ,,Money paid out to shareholders.
Earnings before interest and taxes ,EBIT,Net income less COGS and SGA.
Earnings per share,,Net income/shares outstanding.
EBITD ,EBITD ,"Earnings before interest, taxes and depreciation."
Economic profit,,A generic name for economic value added (EVA„)
Economic value added ,EVA„,The amount of economic value added to a company during the year.  Calculated as:  EVA = NOPAT _ Operating capital (WACC).  Sometimes defined as: EVA = NOPAT _ (Operating capital at the beginning of the year) (WACC).
Excess cash ,,Cash in excess of the amount needed to support operations.
External financing,,Debt or equity raised from newly issued securities.
Extraordinary items,,"Items on the income statement that are non-recurring, such as reorganization charges."
Fixed assets ,,Real assets with lives longer than a year.
Fixed payout ratio ,,A dividend policy in which dividends are a constant proportion of net income.
Free cash flow,FCF,"NOPAT minus required investment in operating capital.  FCF is the total amount of cash available for distribution to all the firm_s investors_stockholders, bondholders, and preferred stockholders."
Fundamental analysis ,,Valuing stocks based on their expected future cash flows.
Fundamental value,,The value that results from discounting expected future cash flows at an appropriate cost of capital.  Analysts are not likely to agree on this value; it is an intrinsic value.
Gross margin ,,Gross profit/Sales.
Gross profit ,,Sales less cost of goods sold.
Interest coverage ratio,,Operating profit/Net interest expense.
Intrinsic value,,An estimate of value that is determined according to the particular views and beliefs of an individual investor or analyst.  See fundamental value.
Inventory turnover,,Inventory/Sales (sometimes defined as the average inventory during the year divided by the year_s sales).
Market risk premium,,The return over and above the risk free rate that investors require for bearing market risk:  RPM = expected return on market _ risk free rate.
Market value,,The price at which the asset may be purchased or sold in the financial markets.
