Term,Definition
Absolute advantage,One country enjoying total lower costs of production than another country (ies).
Adaptation,"Goods or service adapted in either product, distribution or advertising form to take account of unique conditions in any one country(ies)."
Advertising,Any form of marketing communication in the paid media.
Agent,A channel institution which represents one or more suppliers for a fee.
Aggressive exporter,An organisation which develops clear marketing strategies for what it intends to do in a foreign markets.
Anthropology,"The discovery of beliefs, motives and values through the study of a society's overt and covert behaviour."
Area organisation,A form of international organisational structure used by highly marketing oriented organisations with stable products.
Attitudes and values,A predisposition towards a person or object based on cultural mores and values which is a precursor of behaviour.
Balance of payments,A measure of all economic transactions between one country and all other countries.
Barter,"The direct exchange of goods and services between two parties, often without cash considerations."
Basis trading,"The difference to new york futures, either on or off."
Bill of lading,The receipt given by the shipping company to the shipper for goods accepted for carriage by sea. (as opposed to an airway bill of lading for goods carried by air).
Bills of exchange,"An unconditional order in writing, addressed by one person (drawer) to another (drawee), signed by the person giving it (drawer), requiring the person to whom it is addressed (drawee) to pay on demand, at a fixed or determinable future date, a sum certain in money to, or to the order of, a specific person (payee) or to bearer."
Broker,A channel institution which puts a specific buyer(s) and seller(s) in contact with one another in one or more commodity(ies) or service(s) with a view to achieving a sale or benefit.
Brussels nomenclature,"An international convention aimed at grouping articles, mainly according to their material composition, into a simplified classification system for tariff administration."
Budget,An amount of money set aside to cover the total cost of a communication campaign or other marketing activity.
CIF,"A contract of sale ""cost, insurance freight"" of the documents of title, not the goods, whereby the buyer is under an obligation to pay against the shipping documents irrespective of the arrival of the goods."
Cluster analysis,A technique for grouping similarities or differences between a set of objects or persons.
Comparative advantage,One country enjoying a lower production ratio (input to outputs) than another country under total specialisation.
Comparative analysis,Comparing the same set of statistics within a category of one country with another for the purpose of estimating potential demand.
Competition,"A product, organisation or individual, in either the same or another category which can be directly substituted one for the other in fulfilling the same needs or wants."
Competitive strategy,The adoption of a specific target market and marketing mix stance in the market place.
Cooperative,"A collection of organisations or individuals, pooling their resources in order to gain commercial or non-commercial advantage in buying, selling or processing goods and/or services."
Countertrade,An agreement by the customer to buy goods on condition that the seller buys some of the customer's own products in return.
Culture,The sum total of learned behaviourial characteristics or traits which are manifest and shared by members of a particular society.
Currency swaps,A method to gain access to foreign capital at favourable rates comprising contracts to exchange cash flow relating to the debt obligations of the two counterparts to the agreement.
Decentralised plans,A planning system taking into account differences in product/market conditions.
Demand pattern analysis,The analysis of in-country industrial sector growth patterns.
Devaluation,The reduction in the value of one currency vis a vis other countries.
Diffusion theory,"A classification for the adoption of innovation(s) through social phenomenon, characterised by a normal distribution."
Distribution channel,An institution through which goods or services are marketed giving time and place utilities to users.
Dumping,"The selling of goods or services in a buying country at less than the production unit price in the selling country, or the difference between normal domestic price and the price at which the product leaves the exporting country."
Duty,"The actual custom duty based on an imported good either on an ad valorem, or specification amount per unit or combination of these two."
Ethnocentrism,A home country orientation but with export of surplus production. Exchange rate. The ratio of exchange of one currency to another.
Export credit guarantee fund,"A facility, provided by government treasury, to guarantee the development costs of exports or legal claims arising there from."
Export processing zone,"A zone, designated within the country, enjoying tax privileges or other status, where goods and services can be brought into, reprocessed and re-exported."
Exporting,The marketing of surplus goods produced in one country into another country.
Expropriation,The annexation or seizure of national assets as an extreme form of political action.
FAS,"A contract of sale ""free along side"" whereby the seller undertakes to place the goods alongside a ship ready for boarding and carry all charges up to that point."
FOB,"A contract of sale ""free on board"" whereby the seller undertakes to place the goods on board a named ship at a named port and berth and carry all charges up to delivery over the ships rail."
Foreign exchange,"Facilities' business across national boundaries, usually expressed in foreign currency bought or sold on the foreign exchange market."
Forward rates,A mechanism whereby the risk of changes in exchange rates can be covered by obtaining a new rate quote for a future exchange of currencies.
Future,A legally binding contract to deliver/take delivery on a specified date of a given quality and quantity of a commodity at an agreed price.
General Agreement on Tariffs and Trade,(GATT). An institutional framework producing a set of rules and principles with the intention of liberalising trade between member countries.
Geocentrism,A world orientation with world market strategies.
Global environment,All semi or uncontrollable factors which a marketer has to account for in carrying out global operations.
