Term,Definition
ABA ,"American Bankers Association number - often referred to as the ""transit routing number"", is the nine (9) digit electronic address of a financial institution. The ABA number is encoded in the MICR (Magnetic Ink Character Recognition) line of all checks, and is assigned to each financial institution and each branch office of that financial institution."
abandonment,"A patent application becomes abandoned for failure to file a complete and proper reply as the condition of the application may require within the time period provided under 37 CFR Â§ 1.134 and Â§ 1.136 unless an Office action indicates otherwise.         Abandonment may be either of the invention or of an application. An abandoned application, in accordance with 37 CFR Â§Â§ 1.135 and 1.138, is one which is removed from the Office docket of pending applications.       -- see MPEP 711 for more            -- see express abandonment"
abandonment,"A trademark application that has been declared abandoned is ""dead"" and no longer pending. Abandonment occurs under several circumstances. The most common reason is when the USPTO does not receive a response to an Office Action letter from an applicant within 6 months from the date the Office action letter was mailed. Another instance is when the USPTO does not receive a Statement of Use (or request for an extension of time to file a statement of use) from an applicant within 6 months from the issuance of a Notice of Allowance). Applications abandoned for failure to respond to an Office Action or a Notice of Allowance can be revived or reinstated in certain circumstances. For more information, see Petition to Revive and Request for Reinstatement."
abstract of the disclosure,"A concise statement of the technical disclosure including that which is new in the art to which the invention pertains         -- see MPEP 608.01(b) for more"
ABC,activity based cost accounting - an accrual-based accounting method for determining unit-based costs of delivering services by allocating the costs to budgetary resources; it measures the performance and costs related to a specific activity or function.
ABM,"activity based management - a management methodology that combines ABC with business process analysis techniques to run, improve and measure  performance for a business or organization."
ABSS,"Automated Biotechnology Sequence Search        See PSIPS to access sequence searching online"
Acceptable Identification of Goods and Services Manual,"This manual lists numerous examples of identifications of goods and services that are acceptable to the USPTO for inclusion in trademark applications and registrations. The manual is not exhaustive and is meant as a guide to aid applicants and their attorneys in formulating acceptable identifications of goods and/or services.        Use Acceptable Identification of Goods and Services Manual online"
ACH,Automated Clearing House - a nationwide batch-oriented electronic funds transfer system governed by the NACHA (National Automated Clearing House Association)
Administrative Instructions,set out the provisions and requirements in relation to the filing and processing of the international (patent) application under the PCT and are established by the Director General of WIPO
ADS,Application Data Sheet
agent (patent),"(may be referred to as a practitioner or representative) - one who is not an attorney but is authorized to act for or in place of the applicant(s) before the Office, that is, an individual who is registered to practice before the Office.        -- See 37 CFR Â§ 10.6 and the searchable online Patent Attorney Agent Roster"
AIA,"America Invents Act         -- see MORE"
AIPA,"American Inventors Protection Act of 1999         -- see MORE"
AIPLA,American Intellectual Property Law Association
AIS,automated information system
ALC ,Agency Location Code - an eight (8) digit code assigned to U.S. government agencies by the Department of Treasury.
allegation of use,"a sworn statement signed by the applicant or a person authorized to sign on behalf of the applicant attesting to use of the mark in commerce. The allegation of use must include one specimen showing use of the mark in commerce for each class of goods/services included in the application, and the required fee. If filed before the examining attorney approves the mark for publication, the allegation of use is also called an ""Amendment to Allege Use"". If filed after issuance of the Notice of Allowance, the allegation of use is also called a Statement of Use. The Amendment to Allege Use and the Statement of Use include the same information, and differ only as to the time when filed. The applicant may not file either an Amendment to Allege Use or a Statement of Use between the date the examining attorney approves the mark for publication and the date of issuance of the notice of allowance."
amendment to allege use (AAU),"a sworn statement signed by the applicant or a person authorized to sign on behalf of the applicant attesting to use of the mark in commerce. With the AAU, the owner must submit one specimen showing  use of the mark in commerce for each class of goods/services included in the application, and the required fee.                         AAUs must be filed before the date the examining attorney approves the mark for publication in the Official Gazette.                   You should check the status of the application before filing the AAU to make sure that is timely. An AAU filed after the mark is approved for publication but before a notice of allowance has been issued (during the ""blackout period"") is untimely and cannot be accepted.         -- see file an AAU online"
Annex F,"written specifications of the application-body document type definition (EFS' filename is application-body.dtd) agreed to by the USPTO, WIPO, EPO, and JPO        -- see MPEP Appendix AI for instructions on how to locate Annex F on the WIPO website"
APMS,automated project management system
appeal (patent),see BPAI for info on patent appeals
appeal (trademark),"An applicant who wants to contest a final refusal from an examining attorney may file an appeal to the Trademark Trial and Appeal Board. An appeal is taken by filing a Notice of Appeal and paying the appeal fee within six months of the mailing date of the action from which the appeal is taken. 15 U.S.C. Section 1070; 37 C.F.R. Section 2.142(a).         -- see Trademark Trial and Appeal Board Manual of Procedure (TBMP) Section 1202.03."
